'Glon','Glat','comments',col1,Glon,Glat,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,Separation
0.1323,-0.0621,,2295,0.1323,-0.062127999999999996,11.293909090909093,0.11927272727272728,10.423333333333332,0.10796969696969698,0.015264108916016038,33,split_0.0_15.0/0_4.csv,0.6-4.0,2587,487724,1.746547831284894,3.27,0.10079755382536111
0.0226,4.191,,454,0.022585,4.1910254999999985,14.072285714285714,0.12842857142857148,12.900071428571428,0.1362142857142857,0.06891849184543994,14,split_0.0_15.0/0_8.csv,0.6-4.0,31,215797,0.2467144761414059,2.79,0.10647889121203467
0.0709,0.3743,,2373,0.070913,0.37433099999999997,13.190666666666667,0.1232,12.478600000000002,0.12773333333333334,0.030356103471954363,15,split_0.0_15.0/0_4.csv,0.6-4.0,386,487724,0.3991932919069772,6.0,0.12100518374367572
0.113392,-0.6873,,465,0.113392,-0.687314,13.337048780487805,0.08114634146341465,12.399365853658535,0.06799999999999999,0.02242477647603207,41,split_0.0_15.0/0_3.csv,0.6-4.0,525,462234,1.51722452419629,3.97,0.05030489959723799
0.2507,0.0331,,2091,0.25069600000000003,0.0330805,12.068833333333332,0.09308333333333334,11.223083333333333,0.09941666666666668,0.006898819917203257,12,split_0.0_15.0/0_4.csv,0.6-4.0,2891,487724,1.4052203733244666,6.36,0.07166704385879778
0.0291,2.1867,,2467,0.029063500000000006,2.186706,12.979954545454547,0.1285909090909091,12.098136363636366,0.12518181818181814,0.07839713150524066,22,split_0.0_15.0/0_6.csv,0.6-4.0,81,460879,0.2332137283883396,2.52,0.1330078731170652
0.4946,-0.2074,,2307,0.494648,-0.207393,12.809289473684213,0.10723684210526316,12.003868421052632,0.11939473684210528,0.020026812152711692,38,split_0.0_15.0/0_4.csv,0.6-4.0,2708,487724,1.5328856991560815,6.28,0.17462366690332953
0.5409,0.0262,,2110,0.540914,0.026167000000000003,12.44628,0.08231999999999999,11.5124,0.08375999999999997,0.00642233680213047,25,split_0.0_15.0/0_4.csv,0.6-4.0,4756,487724,3.144741352923756,2.83,0.1290494777801499
0.5826,-0.1061,,2255,0.582577,-0.10613199999999999,11.5411,0.0758,10.6625,0.07909999999999999,0.007861237816018555,20,split_0.0_15.0/0_4.csv,0.6-4.0,5728,487724,2.0553087029536203,4.91,0.1418678633132381
0.5969,0.0462,,2119,0.596867,0.046217,12.14,0.07447368421052633,11.154789473684213,0.08852631578947369,0.006990691525164052,19,split_0.0_15.0/0_4.csv,0.6-4.0,4890,487724,2.1956922171484723,2.01,0.13363749896880125
0.7168,-0.1704,,2147,0.716767,-0.17039400000000002,13.30442105263158,0.10468421052631577,12.281842105263154,0.10510526315789474,0.00520024037905945,19,split_0.0_15.0/0_4.csv,0.6-4.0,7104,487724,2.9516725873092584,6.12,0.12074307183462754
0.7874,0.0598,,2286,0.787361,0.059836,12.3405,0.1093846153846154,11.547846153846152,0.11453846153846152,0.016064165742421914,26,split_0.0_15.0/0_4.csv,0.6-4.0,4861,487724,1.3075345452617084,3.13,0.19107389385890125
0.0797,-0.643,,463,0.08155,-0.642339,12.951319148936172,0.0843404255319149,12.084595744680856,0.06968085106382979,0.014799493234567198,47,split_0.0_15.0/0_3.csv,0.6-4.0,492,462234,2.635391455228372,8.49,7.0719608454669665
0.8028,0.0082,,2252,0.801586,0.008258,12.882105263157893,0.11210526315789474,12.176789473684213,0.11489473684210527,0.010052152655028668,19,split_0.0_15.0/0_4.csv,0.6-4.0,6224,487724,1.5269771064021629,-0.76,4.375384913983584
