Glon_1,Glat_1,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,comments,Separation
307.394109,-0.584008,13.77468421,0.124157895,12.94842105,0.142789474,0.041688653,19,split_295.0_335.0/12_2.csv,0.6-4.0,153,197451,0.578670222,4.01,,0.043369018
307.402268,-0.7159045,13.683,0.127555556,12.75377778,0.117277778,0.046085786,18,split_295.0_335.0/12_2.csv,0.6-4.0,157,197451,0.495907751,3.54,,0.116322622
307.38333,-0.951436,13.61988235,0.115882353,12.75794118,0.139529412,0.063990294,17,split_295.0_335.0/12_2.csv,0.6-4.0,77,197451,0.337310773,1.28,"VVV_CL025,VVV_CL026",0.168741718
307.140728,-0.72335,14.1569375,0.135625,13.306,0.1708125,0.043160856,16,split_295.0_335.0/12_2.csv,0.6-4.0,93,197451,0.470679544,4.82,,0.206360689
306.938946,-0.513318,13.59956667,0.127966667,12.63653333,0.1117,0.077950752,30,split_295.0_335.0/12_2.csv,0.6-4.0,85,197451,0.488648242,1.47,,0.177818566
307.064128,-0.2436015,14.19454167,0.103875,13.42675,0.157791667,0.068579162,24,split_295.0_335.0/12_2.csv,0.6-4.0,114,197451,0.44433903,0.12,,0.100944406
331.08195,-0.4748695,13.87375,0.1239375,12.7775625,0.147,0.018372682,16,split_295.0_335.0/36_2.csv,0.6-4.0,392,234565,1.01447393,3.46,,0.210854321
330.9250745,-0.401886,13.22163636,0.109090909,12.21586364,0.127,0.02686486,22,split_295.0_335.0/36_2.csv,0.6-4.0,357,234565,0.953963073,3.27,,0.104711977
331.2358,-0.426108,13.62069149,0.112904255,12.77858511,0.134148936,0.062138715,94,split_295.0_335.0/36_2.csv,0.6-4.0,472,234565,1.762215605,8.57,,0.028850983
331.4130675,-0.3656845,13.57008333,0.116875,12.68970833,0.13525,0.019611253,24,split_295.0_335.0/36_2.csv,0.6-4.0,521,234565,1.425605507,8.08,,0.129632898
331.7429355,-0.466082,13.81116667,0.138333333,13.05,0.158166667,0.033203695,12,split_295.0_335.0/36_2.csv,0.6-4.0,182,234565,0.421006005,3.46,,0.143297606
299.1870505,-0.389657,14.07842857,0.111142857,13.02514286,0.113,0.022423045,14,split_295.0_335.0/4_2.csv,0.6-4.0,125,130411,0.975441869,7.35,,0.236033505
299.365815,-0.206519,13.82243182,0.118568182,12.98527273,0.138477273,0.090966651,44,split_295.0_335.0/4_2.csv,0.6-4.0,112,130411,0.755680858,2.32,,0.087164072
329.182892,-0.316692,13.16096552,0.095,12.09565517,0.111448276,0.017041899,29,split_295.0_335.0/34_2.csv,0.6-4.0,408,275829,1.828037563,7.91,G3CC_31,0.040758304
329.062682,-0.307896,13.446125,0.117,12.2820625,0.12875,0.016237,16,split_295.0_335.0/34_2.csv,0.6-4.0,420,275829,1.058569306,5.69,,0.066388831
329.108149,-0.485183,13.24530435,0.110913043,12.33834783,0.128913043,0.053437461,23,split_295.0_335.0/34_2.csv,0.6-4.0,216,275829,0.462367309,3.77,VVV_CL057,0.186694493
297.467106,-0.747628,12.40715789,0.104263158,11.31268421,0.119,0.051283945,19,split_295.0_335.0/2_2.csv,0.6-4.0,84,122812,0.596453838,2.09,[BRN2015]_La_Serena_19,0.103021122
297.2696895,-0.746685,13.61365,0.1091,12.5852,0.13215,0.06776575,20,split_295.0_335.0/2_2.csv,0.6-4.0,47,122812,0.475143079,3.47,[BRN2015]_La_Serena_17,0.065880655
297.402151,-0.627786,13.72609524,0.115333333,12.8622381,0.128285714,0.062208987,21,split_295.0_335.0/2_2.csv,0.6-4.0,79,122812,0.543464061,6.15,[MCM2005b]_28,0.183436519
316.521836,-0.59125,13.46671429,0.130571429,12.62485714,0.140071429,0.024627642,14,split_295.0_335.0/21_2.csv,0.6-4.0,222,173273,0.770486118,3.62,,0.221829249
316.0842105,-0.6785795,13.26731818,0.117909091,12.279,0.132681818,0.051654104,22,split_295.0_335.0/21_2.csv,0.6-4.0,140,173273,0.57726798,4.7,,0.082958578
316.480545,-1.066414,13.91182353,0.123176471,13.00788235,0.163529412,0.073747,17,split_295.0_335.0/21_2.csv,0.6-4.0,41,173273,0.312438238,7.25,,0.169577576
309.232879,-0.463772,13.4255122,0.110414634,12.5445122,0.132609756,0.04143619,41,split_295.0_335.0/14_2.csv,0.6-4.0,330,174031,1.338183884,7.06,,0.126036146
309.426003,-0.619075,13.54212,0.10196,12.64232,0.09508,0.019422147,25,split_295.0_335.0/14_2.csv,0.6-4.0,256,174031,1.740822658,4.9,G3CC_12,0.270152425
309.382902,-0.159408,13.84254545,0.122121212,13.0340303,0.156151515,0.067424107,33,split_295.0_335.0/14_2.csv,0.6-4.0,117,174031,0.661927606,3.62,VVV_CL031_(off),0.029682274
309.531855,-0.743586,13.78325532,0.088680851,12.80404255,0.127553191,0.088242278,47,split_295.0_335.0/14_2.csv,0.6-4.0,172,174031,0.72033232,0.19,G3CC_13,0.169657557
304.025095,0.2984055,13.716,0.102055556,12.71108333,0.111833333,0.047360622,36,split_295.0_335.0/9_3.csv,0.6-4.0,356,143883,1.130590753,3.81,,0.026719788
304.07704,0.404053,13.90876923,0.090692308,12.89876923,0.130692308,0.00978679,13,split_295.0_335.0/9_3.csv,0.6-4.0,330,143883,1.975711026,2.47,,0.22218158
303.9937315,0.464043,13.7009,0.100466667,12.87626667,0.1182,0.028597007,30,split_295.0_335.0/9_3.csv,0.6-4.0,260,143883,1.560346295,7.75,G3CC_9,0.191928736
298.818737,0.136317,13.16893333,0.116066667,12.11546667,0.1132,0.038132701,15,split_295.0_335.0/3_3.csv,0.6-4.0,52,117212,0.648235355,5.13,[BRN2015]_La_Serena_27,0.146590079
298.412938,0.6869315,13.56971875,0.107125,12.685125,0.1306875,0.083810432,32,split_295.0_335.0/3_3.csv,0.6-4.0,71,117212,0.629203203,5.38,,0.177637482
298.25352,0.744306,13.51619149,0.106021277,12.63638298,0.130659574,0.113689408,47,split_295.0_335.0/3_3.csv,0.6-4.0,73,117212,0.681266258,4.21,VVV_CL010,0.075156303
331.0873545,0.982021,14.04077778,0.123,13.15594444,0.1545,0.033294965,18,split_295.0_335.0/36_4.csv,0.6-4.0,142,124733,0.86363119,2.69,,0.180392776
330.9308135,1.0145515,13.25434615,0.116307692,12.39015385,0.155730769,0.061227221,26,split_295.0_335.0/36_4.csv,0.6-4.0,86,124733,0.678364605,4.7,,0.181369329
311.9801055,-0.9533165,13.10033333,0.099125,12.02683333,0.13075,0.059840668,24,split_295.0_335.0/17_2.csv,0.6-4.0,89,179586,0.533953737,4.95,,0.062614837
312.401955,-0.895736,14.02013333,0.133933333,13.2048,0.166733333,0.068903858,15,split_295.0_335.0/17_2.csv,0.6-4.0,88,179586,0.289825467,4.5,,0.207495538
331.384474,0.152597,13.28416129,0.094,12.32187097,0.120903226,0.016213528,31,split_295.0_335.0/36_3.csv,0.6-4.0,563,224040,2.279011184,5.12,,0.094222863
331.752883,0.0365475,13.49854167,0.108333333,12.664125,0.13575,0.024046828,24,split_295.0_335.0/36_3.csv,0.6-4.0,455,224040,1.189640462,6.1,,0.181623509
331.709964,0.587893,13.69959524,0.104952381,12.6787381,0.13597619,0.031638941,42,split_295.0_335.0/36_3.csv,0.6-4.0,339,224040,1.582302924,9.02,,0.132008856
331.7805605,0.6549625,13.70290909,0.106909091,12.94681818,0.143863636,0.044262595,22,split_295.0_335.0/36_3.csv,0.6-4.0,236,224040,0.592445067,5.2,,0.195998467
295.1291635,-0.7273525,12.67441667,0.102375,11.843,0.121541667,0.066812196,24,split_295.0_335.0/0_2.csv,0.6-4.0,128,107367,0.618507754,3.89,stock_14_45,0.215662157
295.153305,-0.589189,13.0513913,0.123869565,12.01917391,0.127434783,0.033847846,23,split_295.0_335.0/0_2.csv,0.6-4.0,120,107367,1.170001599,8.22,,0.043563593
294.974864,-0.693915,13.61,0.11775,12.5808125,0.138,0.080344805,16,split_295.0_335.0/0_2.csv,0.6-4.0,54,107367,0.342887645,2.25,,0.140406286
298.0453535,-0.518343,13.269625,0.0809375,12.3904375,0.1255,0.063910153,16,split_295.0_335.0/3_2.csv,0.6-4.0,70,127036,0.396288789,3.02,,0.22800661
298.7491765,-0.227593,13.79388462,0.114346154,13.04796154,0.148038462,0.069966096,26,split_295.0_335.0/3_2.csv,0.6-4.0,89,127036,0.588230266,2.5,,0.088265966
329.463266,0.157289,13.02373333,0.115533333,11.9732,0.121133333,0.012147597,15,split_295.0_335.0/34_3.csv,0.6-4.0,457,225485,1.467124944,3.32,,0.128640981
329.607749,0.11155,13.28927586,0.122862069,12.38865517,0.145310345,0.030519224,29,split_295.0_335.0/34_3.csv,0.6-4.0,429,225485,1.128991677,4.8,,0.252016958
328.981409,0.5694775,13.6385,0.117615385,12.65519231,0.128346154,0.034415763,26,split_295.0_335.0/34_3.csv,0.6-4.0,311,225485,0.897598623,5.39,,0.087336309
309.181475,0.15355,13.2185,0.097666667,12.38991667,0.122666667,0.020642468,12,split_295.0_335.0/14_3.csv,0.6-4.0,238,167561,0.801231877,9.24,C_1341-617,0.201269465
309.37798,-0.119931,13.68530769,0.105307692,12.69392308,0.120307692,0.019488891,13,split_295.0_335.0/14_3.csv,0.6-4.0,160,167561,0.919379521,6.35,VVV_CL031,0.132800851
312.110274,0.2673655,13.23446667,0.1041,12.13086667,0.1176,0.02279632,30,split_295.0_335.0/17_3.csv,0.6-4.0,398,165047,1.827585717,3.27,,0.155509796
311.952806,0.147039,13.47548649,0.111594595,12.56178378,0.128945946,0.029601211,37,split_295.0_335.0/17_3.csv,0.6-4.0,422,165047,1.735855159,5.2,,0.142052235
311.89907,0.112197,12.91857895,0.112578947,12.17226316,0.131736842,0.023235886,19,split_295.0_335.0/17_3.csv,0.6-4.0,306,165047,1.135574424,1.79,[MCM2005b]_46,0.108538233
320.164559,0.909325,13.12528571,0.097380952,12.24633333,0.112142857,0.017732969,21,split_295.0_335.0/25_4.csv,0.6-4.0,93,42975,3.222960303,7.35,,0.17280426
313.272084,-0.710325,13.4895,0.116714286,12.50978571,0.133464286,0.070271314,28,split_295.0_335.0/18_2.csv,0.6-4.0,119,170835,0.543896917,3.86,,0.106765662
313.750869,-0.497207,13.68039655,0.105241379,12.77056897,0.136293103,0.09991538,58,split_295.0_335.0/18_2.csv,0.6-4.0,147,170835,0.79237778,0.08,,0.114396019
