,Glon,Glat,GLIMPSE,S,C,Jmag,e_Jmag,Kmag,e_Kmag,3_6mag,e_3_6mag,4_5mag,e_4_5mag,5_8mag,e_5_8mag,8_0mag,e_8_0mag
0,284.422095,0.797994,G284.4221+00.7979,1,A,16.092,0.13,14.99,0.15,14.602,0.148,,,,,,
1,284.420403,0.817433,G284.4204+00.8174,1,A,15.439,0.06,13.883,0.053,13.572,0.11,,,12.829,0.226,,
2,284.417361,0.81905,G284.4173+00.8190,1,A,12.706,0.022,11.487,0.021,11.222,0.067,,,11.173,0.121,,
3,284.420417,0.824536,G284.4204+00.8245,1,A,15.522,0.073,14.867,0.132,14.696,0.147,,,,,,
4,284.421064,0.827294,G284.4210+00.8272,1,A,14.037,0.03,13.118,0.038,13.102,0.088,,,,,,
5,284.203733,0.701039,G284.2037+00.7010,1,A,,,,,15.227,0.162,14.848,0.322,,,,
6,284.198475,0.701808,G284.1984+00.7018,1,A,15.415,0.066,14.803,0.124,14.859,0.157,14.375,0.259,,,,
7,284.188054,0.702006,G284.1880+00.7020,1,C,14.7,0.036,14.198,0.071,14.059,0.113,14.176,0.155,,,,
8,284.185348,0.702047,G284.1853+00.7020,1,C,14.461,0.03,14.032,0.069,14.12,0.111,13.763,0.233,,,,
9,284.187546,0.704225,G284.1875+00.7042,1,A,15.556,0.07,14.631,0.094,14.488,0.105,14.218,0.297,,,,
10,284.183365,0.700386,G284.1833+00.7003,1,C,14.643,0.035,13.701,0.043,13.566,0.085,13.515,0.192,,,,
11,284.183473,0.705708,G284.1834+00.7057,1,A,,,,,15.07,0.134,14.686,0.279,,,,
12,284.180381,0.706114,G284.1803+00.7061,1,C,14.451,0.046,14.129,0.086,13.779,0.075,13.937,0.246,,,,
13,284.180014,0.701344,G284.1800+00.7013,1,A,16.699,0.185,14.927,0.136,14.369,0.087,14.2,0.208,,,,
14,284.178559,0.703964,G284.1785+00.7039,1,C,13.179,0.033,12.709,0.036,12.598,0.076,12.185,0.135,,,12.607,0.311
15,284.179873,0.7048,G284.1798+00.7048,1,A,15.38,0.068,14.875,0.125,14.564,0.106,14.659,0.319,,,,
16,284.178228,0.706947,G284.1782+00.7069,1,A,15.254,0.064,14.794,0.108,14.586,0.136,14.904,0.334,,,,
17,284.425442,0.703611,G284.4254+00.7036,1,A,12.071,0.024,11.984,0.034,,,11.782,0.15,,,11.745,0.108
18,284.422623,0.701358,G284.4226+00.7013,1,C,12.809,0.022,12.374,0.024,12.268,0.058,12.174,0.098,11.97,0.108,11.925,0.16
19,284.421264,0.704425,G284.4212+00.7044,1,A,,,,,15.513,0.194,,,,,,
20,284.418125,0.700408,G284.4181+00.7004,1,C,9.602,0.023,9.092,0.023,8.988,0.039,9.134,0.065,9.037,0.042,9.03,0.051
21,284.419183,0.702478,G284.4191+00.7024,1,C,13.948,0.062,13.483,0.068,13.418,0.069,13.368,0.163,,,,
22,284.412416,0.700294,G284.4124+00.7002,1,C,14.575,0.024,14.186,0.071,13.92,0.088,14.098,0.232,,,,
23,284.411369,0.705153,G284.4113+00.7051,1,C,15.161,0.057,13.253,0.042,12.889,0.062,12.655,0.112,,,,
24,284.410116,0.701844,G284.4101+00.7018,1,C,14.353,0.022,13.64,0.039,13.507,0.096,13.347,0.18,,,,
25,284.408938,0.704294,G284.4089+00.7042,1,C,15.201,0.07,13.952,0.079,13.734,0.067,13.477,0.184,12.806,0.235,,
26,284.407663,0.703336,G284.4076+00.7033,1,C,13.184,0.032,12.608,0.036,12.453,0.052,12.507,0.115,,,,
27,284.397637,0.704953,G284.3976+00.7049,1,A,16.006,0.102,15.221,0.19,15.295,0.149,,,,,,
28,284.396759,0.705767,G284.3967+00.7057,1,A,,,,,15.372,0.158,,,,,,
29,284.394286,0.707333,G284.3942+00.7073,1,C,,,,,13.487,0.077,13.374,0.193,,,,
30,284.396006,0.71,G284.3960+00.7100,1,C,15.111,0.059,13.862,0.056,13.619,0.071,13.684,0.212,,,,
31,284.395212,0.707739,G284.3952+00.7077,1,C,,,,,11.996,0.054,11.966,0.123,11.845,0.099,11.991,0.177
32,284.393995,0.705214,G284.3940+00.7052,1,A,15.681,0.083,14.805,0.155,14.533,0.12,14.531,0.272,,,,
33,284.39252,0.7058,G284.3925+00.7058,1,A,,,,,15.11,0.159,,,,,,
34,284.3908,0.709078,G284.3908+00.7090,1,A,15.34,0.052,14.493,0.095,14.523,0.125,14.285,0.256,,,,
35,284.37729,0.701678,G284.3772+00.7016,1,C,15.528,0.06,13.673,0.045,13.256,0.073,13.163,0.204,,,,
36,284.374712,0.702097,G284.3747+00.7021,1,C,14.721,0.043,14.322,0.088,14.113,0.095,14.232,0.288,,,,
37,284.389922,0.7022,G284.3899+00.7022,1,A,15.939,0.092,14.824,0.127,14.64,0.144,14.357,0.282,,,,
38,284.38483,0.701561,G284.3848+00.7015,1,C,14.681,0.049,14.083,0.069,14.053,0.087,13.882,0.211,,,,
39,284.385388,0.703194,G284.3853+00.7031,1,C,15.025,0.039,13.085,0.036,12.732,0.055,12.454,0.153,12.274,0.164,,
40,284.382144,0.706139,G284.3821+00.7061,1,A,,,,,14.829,0.176,,,,,,
