Glon,Glat,comments,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity
330.0379,1.0447,G3CC_32,13.22264706,0.089588235,11.84241176,0.107117647,0.00605664,17,split_295.0_335.0/35_4.csv,0.6-4.0,339,209364,3.460917062,7.16
15.0326,0.8518,,13.8695,0.126571429,12.55392857,0.133785714,0.04541931,14,split_15.0_35.0/0_4.csv,0.6-4.0,49,66741,0.673156762,2.18
350.1153,0.096,G3CC_44,13.2875,0.115714286,11.97964286,0.112785714,0.011990052,14,split_350.0_360.0/0_4.csv,0.6-4.0,443,373558,1.077836813,7.35
34.4604,0.248,,13.87946667,0.129266667,12.5988,0.139333333,0.012454535,15,split_15.0_35.0/19_3.csv,0.6-4.0,592,208736,1.487271059,3.32
12.8968,0.489,,12.92973684,0.111105263,11.65047368,0.139210526,0.014853778,19,split_0.0_15.0/12_5.csv,0.6-4.0,316,157738,1.817078002,4
34.409,0.235,'G3CC_61',13.68332143,0.128928571,12.40521429,0.128785714,0.013525405,28,split_15.0_35.0/19_3.csv,0.6-4.0,723,208736,2.55643137,3
303.9349,-0.6877,G3CC_8,13.38942857,0.135714286,12.11357143,0.114714286,0.024785548,14,split_295.0_335.0/9_2.csv,0.6-4.0,104,167632,0.778352107,4.95
351.7696,-0.5325,"[LPS2011b]_Clump-1,G3CC_46",12.7888125,0.084,11.5325,0.1053125,0.010719522,16,split_350.0_360.0/1_4.csv,0.6-4.0,408,361176,1.401232502,2.01
60.0123,0.1111,,13.15130769,0.105384615,11.91684615,0.114307692,0.046583836,13,split_35.0_66.0/25_1.csv,0.6-4.0,28,120946,0.452728062,2.68
358.3701,-0.4677,G3CC_48,13.0658,0.077066667,11.8402,0.116866667,0.007982121,15,split_350.0_360.0/8_4.csv,0.6-4.0,951,468454,1.5490468,4.9
35.0426,-0.4729,,13.07661538,0.083384615,11.85723077,0.110153846,0.01724845,13,split_35.0_66.0/0_0.csv,0.6-4.0,178,193745,0.96605777,0.94
350.209,1.3149,,13.76229412,0.094235294,12.55382353,0.102058824,0.016336645,17,split_350.0_360.0/0_5.csv,0.6-4.0,181,319385,1.038852429,11
316.7603,-0.0087,,13.5336129,0.117677419,12.32803226,0.123774194,0.021353567,31,split_295.0_335.0/21_3.csv,0.6-4.0,369,173462,1.966591483,7.5
359.9577,-0.0739,,11.73604167,0.10725,10.54858333,0.113291667,0.006315118,24,split_350.0_360.0/9_4.csv,0.6-4.0,2477,484882,3.079192056,2.43
314.2674,0.0894,G3CC_18,13.46629167,0.108895833,12.28991667,0.124583333,0.027376684,48,split_295.0_335.0/19_3.csv,0.6-4.0,416,172255,2.383414296,8.73
24.0086,0.4957,,13.24528571,0.095642857,12.07171429,0.093285714,0.018617997,14,split_15.0_35.0/9_3.csv,0.6-4.0,210,257243,0.836466123,4.91
0.0226,4.191,,14.07228571,0.128428571,12.90007143,0.136214286,0.068918492,14,split_0.0_15.0/0_8.csv,0.6-4.0,31,215797,0.246714476,2.79
302.0324,0.6239,,14.04227273,0.108954545,12.87031818,0.122772727,0.049973754,22,split_295.0_335.0/7_3.csv,0.6-4.0,171,130355,0.687926312,2.37
329.0627,-0.3079,,13.446125,0.117,12.2820625,0.12875,0.016237,16,split_295.0_335.0/34_2.csv,0.6-4.0,420,275829,1.058569306,5.69
